iteration,mode,arm,stage,hypothesis_id,trigger_id,trigger_type,test_id,status,test_status,test_path,test_sha256,same_test,hypothesis_sha256,mechanism_match,oracle_status,buggy_exit,fixed_exit,buggy_state,fixed_state,buggy_failure_type,fixed_failure_type,buggy_exception,fixed_exception,classification,verified_f2p,failure_category,activation,planner_attempt_index,planner_attempt_status,repair_attempts,llm_calls,prompt_tokens,completion_tokens,wall_clock_seconds,buggy_log,fixed_log,error
2,conditional,C1,TEST,conditional-h01-e0c8bd3ab2,direct,DIRECT,conditional-h01-e0c8bd3ab2-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h01-e0c8bd3ab2-direct.py,3c81281a42af9f6ad9f7eae360187f3e269f8a92cdfbda3b49a7d48307c5c686,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,575,691,2.919,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h01-e0c8bd3ab2_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h01-e0c8bd3ab2_direct_fixed.log,
2,conditional,C1,TEST,conditional-h02-c19fcca1ca,direct,DIRECT,conditional-h02-c19fcca1ca-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h02-c19fcca1ca-direct.py,981c213f0d5f1c4db284304b1a24457f51444f32b91106b123b99873d54c061d,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,TARGET_EXCEPTION,TARGET_EXCEPTION,UnicodeEncodeError,UnicodeEncodeError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,525,314,1.634,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h02-c19fcca1ca_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h02-c19fcca1ca_direct_fixed.log,
2,conditional,C1,TEST,conditional-h03-768b90f0a5,direct,DIRECT,conditional-h03-768b90f0a5-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h03-768b90f0a5-direct.py,02f6ee86eece762f71d21185c359ac6c9a50d0569ccd579514e8e0a6e90396f8,True,768b90f0a584e3ab99782b4766e6a8e28474486ecb76eeab883184fac7f32c1c,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,641,721,2.958,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h03-768b90f0a5_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h03-768b90f0a5_direct_fixed.log,
2,conditional,C1,TEST,conditional-h04-a9ae48b9d8,direct,DIRECT,conditional-h04-a9ae48b9d8-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h04-a9ae48b9d8-direct.py,ffd41746e958d32f8cd1942e3ce642cb291b0a9d1b14c6e5e3f4e90bdd292d5c,True,a9ae48b9d893c88b17406f0c9ec663488f2c39df8465b94da1c40f0ad327fa14,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,605,513,2.287,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h04-a9ae48b9d8_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h04-a9ae48b9d8_direct_fixed.log,
2,conditional,C1,TEST,conditional-h05-080bc02016,direct,DIRECT,conditional-h05-080bc02016-direct,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C1/conditional-h05-080bc02016-direct.py,65cb9eb818dc42f6469ea308d1dc880d2a9149c7bcd4afbce49920a14955bd8a,True,080bc02016cd546877b681eb6e3976c601936656104c3a4d7860f5d665e770c1,yes,SUPPORTED_ORACLE,0,0,PASS,PASS,,,,,P2P,False,TRIGGER_TOO_WEAK,NOT_ACTIVATED,,,0,1,583,648,6.518,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h05-080bc02016_direct_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C1_conditional-h05-080bc02016_direct_fixed.log,
2,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-1,PLAN,,MODEL_ERROR,MODEL_OUTPUT_FAILURE,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,MODEL_ERROR,,MODEL_OUTPUT_FAILURE,,,,0,1,0,0,3.182,,,unsupported test status:
2,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-2,PLAN,conditional-h01-e0c8bd3ab2-plan-2,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C2/conditional-h01-e0c8bd3ab2-plan-2.py,aedc0388488d2b8543972744a4dc52a0737c0090de584ef4ecdcdf41958ed769,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,0,FAIL,PASS,ASSERTION_FAILURE,,AssertionError,,ASSERTION_F2P,True,VALID_ASSERTION_F2P,ACTIVATED,,,0,1,16183,438,2.413,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h01-e0c8bd3ab2_plan-2_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h01-e0c8bd3ab2_plan-2_fixed.log,
2,conditional,C2,TEST,conditional-h01-e0c8bd3ab2,plan-3,PLAN,conditional-h01-e0c8bd3ab2-plan-3,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C2/conditional-h01-e0c8bd3ab2-plan-3.py,e35a82e8fafc114c21e7dca52304fbedf8a66e3d53fa598357221f60793b9633,True,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,16173,661,3.174,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h01-e0c8bd3ab2_plan-3_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h01-e0c8bd3ab2_plan-3_fixed.log,
2,conditional,C2,PLANNER,conditional-h01-e0c8bd3ab2,planner,PLAN,,VALID,NOT_EXECUTED,,,,e0c8bd3ab2481f840b4ee7e6902b44ec0bee11d05fbea5261ae5ad5af3f1e7c2,yes,UNSUPPORTED_ORACLE,,,,,,,,,PLAN_VALID,,VALID_PLAN,,0,VALID,0,1,16549,1986,7.411,,,
2,conditional,C2,TEST,conditional-h02-c19fcca1ca,plan-1,PLAN,conditional-h02-c19fcca1ca-plan-1,TEST,EXECUTABLE,generated_tests/experiment4/iteration2/C2/conditional-h02-c19fcca1ca-plan-1.py,ba2bc10ebcfe5303202780b91fe3d5255d7e14cd5755d344c4a49f315ed85be5,True,c19fcca1ca6f1ac998539ccd9c008059015bdca92b9276801c639484bdcfe692,yes,SUPPORTED_ORACLE,1,1,FAIL,FAIL,ASSERTION_FAILURE,ASSERTION_FAILURE,AssertionError,AssertionError,F2F,False,SEMANTIC_NON_TRIGGER,ACTIVATED,,,0,1,16062,554,3.231,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h02-c19fcca1ca_plan-1_buggy.log,artifacts/execution_logs/experiment4/iteration2/iteration2_C2_conditional-h02-c19fcca1ca_plan-1_fixed.log,
