target_id,condition,condition_name,attempt,status,test_path,buggy_exit,fixed_exit,buggy_class,fixed_class,outcome,meaningful_buggy_failure,oracle_support,hypothesis_claim,repair_attempts,llm_requests,prompt_tokens,completion_tokens,latency_seconds,buggy_log,fixed_log
PySnooper:1,A,TARGET_ONLY,1,HYPOTHESIS,generated_tests/PySnooper_1/A_attempt_1.py,1,1,MECHANICAL_FAILURE,MECHANICAL_FAILURE,MECHANICAL_FAILURE,False,"In `pysnooper/variables.py`, `BaseVariable.__init__` compiles the source expression. If compilation fails, it raises a `SyntaxError`. However, `Tracer.__init__` wraps each watch item in `CommonVariable` or `Exploding`, and `CommonVariable` inherits from `BaseVariable`. The `items` method catches exceptions during evaluation but not during compilation. Therefore, an invalid expression would raise a `SyntaxError` at decoration time, contradicting the claim. The hypothesis is falsifiable: if the claim is true, no exception should occur; if false, a `SyntaxError` is raised.","When a watched expression is not a valid Python expression, the tracer silently ignores it rather than raising an exception.",0,1,10220,442,2.536,artifacts/execution_logs/PySnooper_1/A_attempt_1_buggy.log,artifacts/execution_logs/PySnooper_1/A_attempt_1_fixed.log
PySnooper:1,A,TARGET_ONLY,2,HYPOTHESIS,generated_tests/PySnooper_1/A_attempt_2.py,0,0,PASS,PASS,P2P,False,"README.md: 'Add a slice after `Indices` to only see the values within that slice, e.g. `Indices('z')[-3:]`.'","`pysnooper.Indices('z')[-3:]` limits the expanded indices to the last three elements of the sequence, as documented in the README: 'Add a slice after `Indices` to only see the values within that slice, e.g. `Indices('z')[-3:]`.'",0,2,10220,670,3.017,artifacts/execution_logs/PySnooper_1/A_attempt_2_buggy.log,artifacts/execution_logs/PySnooper_1/A_attempt_2_fixed.log
PySnooper:1,A,TARGET_ONLY,3,HYPOTHESIS,generated_tests/PySnooper_1/A_attempt_3.py,0,0,PASS,PASS,P2P,False,"README.md example output shows 'Starting var:.. number = 6' as the first variable line for a function whose first argument is number. tests/test_pysnooper.py test_string_io expects VariableEntry('foo', value_regex=""u?'baba'"") before CallEntry and before VariableEntry('x', '7'), confirming the argument appears first.","For a function decorated with @pysnooper.snoop(), the first variable entry in the snoop output is the function's first argument, because get_local_reprs orders variables by code.co_varnames before other locals.",0,3,10220,550,3.223,artifacts/execution_logs/PySnooper_1/A_attempt_3_buggy.log,artifacts/execution_logs/PySnooper_1/A_attempt_3_fixed.log
PySnooper:1,A,TARGET_ONLY,4,HYPOTHESIS,generated_tests/PySnooper_1/A_attempt_4.py,0,0,PASS,PASS,P2P,False,"README.md section 'Features' includes watch_explode example and output showing 'foo[2] = ...'. tests/test_pysnooper.py contains test_watch_explode which uses watch_explode=('_d', '_point', 'lst + []') and asserts output entries for list indices.","When watch_explode is used with a variable that is a list, PySnooper should emit output entries for the list's indices, such as 'lst[0]', 'lst[1]', and 'lst[2]', showing their values.",0,4,10220,562,2.78,artifacts/execution_logs/PySnooper_1/A_attempt_4_buggy.log,artifacts/execution_logs/PySnooper_1/A_attempt_4_fixed.log
PySnooper:1,A,TARGET_ONLY,5,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,5,10220,153,1.765,,
PySnooper:1,B,NAIVE_RAW_HISTORY,1,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,6,11962,133,1.632,,
PySnooper:1,B,NAIVE_RAW_HISTORY,2,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,7,11962,34,0.882,,
PySnooper:1,B,NAIVE_RAW_HISTORY,3,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,8,11962,160,1.671,,
PySnooper:1,B,NAIVE_RAW_HISTORY,4,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,9,11962,151,1.841,,
PySnooper:1,B,NAIVE_RAW_HISTORY,5,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,10,11962,132,1.43,,
PySnooper:1,C,STRUCTURED_APPLICABILITY_AWARE,1,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,11,19575,43,1.114,,
PySnooper:1,C,STRUCTURED_APPLICABILITY_AWARE,2,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,12,19575,37,1.306,,
PySnooper:1,C,STRUCTURED_APPLICABILITY_AWARE,3,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,13,19575,43,1.056,,
PySnooper:1,C,STRUCTURED_APPLICABILITY_AWARE,4,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,14,19575,37,1.523,,
PySnooper:1,C,STRUCTURED_APPLICABILITY_AWARE,5,NO_SUPPORTED_HYPOTHESIS,,,,,,NO_SUPPORTED_HYPOTHESIS,,,,0,15,19575,37,1.112,,
